"previous","id","survey_lang"
"no","q_fg64rd_R_0f76d83kxztrbyN","eng"
"No.","q_fg64rd_R_12nF3hXW7Vp5m6l","eng"
"no","q_fg64rd_R_1Ch28JVLZzBuDBv","eng"
"no","q_fg64rd_R_1CIt7FjSbODlvMh","eng"
"no","q_fg64rd_R_1ClTz6pL1iKVqXa","eng"
"No","q_fg64rd_R_1cUFFs15GuNfefh","eng"
"No","q_fg64rd_R_1Cvi8sL0kfPL1Qy","eng"
"no","q_fg64rd_R_1dib51DKiITHFma","eng"
"yes many REP programs","q_fg64rd_R_1HbNjz6fogcSAtd","eng"
"No I have not.","q_fg64rd_R_1HnKkQeQIeRzCRI","eng"
"no","q_fg64rd_R_1IK0aPiGoo4rxzY","eng"
"No","q_fg64rd_R_1jIWY0kHo1az08h","eng"
"No","q_fg64rd_R_1KeDPiHLF15Nfwh","eng"
"no","q_fg64rd_R_1KvtbuXrHOofyj1","eng"
"No","q_fg64rd_R_1KwfTcnQ3q6wg4Q","eng"
"no","q_fg64rd_R_1lnN8cipGx48ZQG","eng"
"no.","q_fg64rd_R_1mmDicduZGuE2F0","eng"
"No","q_fg64rd_R_1MMW0TEv3RRa6Gt","eng"
"N/A","q_fg64rd_R_1n6qv52oma0kOb8","eng"
"no","q_fg64rd_R_1NerSlMydDKEBZn","eng"
"No","q_fg64rd_R_1OCQIq0XoFjqFJD","eng"
"I think the study I did recently relating to a story about how the police relate to citizens in the community.. I had to answer questions about the details in the story etc so that was possibly quite similar to this.","q_fg64rd_R_1qUrfwVvSnEk7M7","eng"
"no","q_fg64rd_R_1zcO3v1VwKAbNgB","eng"
"No","q_fg64rd_R_21btqFwqsjbuIDs","eng"
"No","q_fg64rd_R_22G14yDL5Jhib8o","eng"
"No","q_fg64rd_R_22zPL7s6JobJ4JV","eng"
"No","q_fg64rd_R_24BIKlL78tD4YD0","eng"
"nope","q_fg64rd_R_2613NKrtzmREAKJ","eng"
"No","q_fg64rd_R_26eYwsd5R0dQqkj","eng"
"No","q_fg64rd_R_29abzO1B8GVJhrK","eng"
"no","q_fg64rd_R_2BnzTf5dHcYcnjg","eng"
"no","q_fg64rd_R_2D85knaL94gf588","eng"
"No, I haven't.","q_fg64rd_R_2DS5GzKCVr6qKO8","eng"
"No","q_fg64rd_R_2eV7LH5UKKpejOk","eng"
"No","q_fg64rd_R_2fqjT5AnxnAxjyv","eng"
"nope. different studies.","q_fg64rd_R_2pPMhvPiiyWuTuP","eng"
"No","q_fg64rd_R_2pSrvDM5oWLOSwZ","eng"
"No.","q_fg64rd_R_2QYyDYoEwMG3XLQ","eng"
"No","q_fg64rd_R_2tD21q3YXYmqbHY","eng"
"No, this was the first time I have participated.","q_fg64rd_R_2TTXWSjcYFY2rEw","eng"
"N/A","q_fg64rd_R_2uVBbQWKnWbhD2F","eng"
"No.","q_fg64rd_R_2v08njoeS9B38su","eng"
"No.","q_fg64rd_R_2VJSAMQ2k1bkDc1","eng"
"No","q_fg64rd_R_2zwhCr14S03Vzls","eng"
"No","q_fg64rd_R_31slQjdAeByNYwI","eng"
"No, but I have participated in many REP studies.","q_fg64rd_R_3CPYpIzrTufuP93","eng"
"No","q_fg64rd_R_3DnfolPnb07unPo","eng"
"No","q_fg64rd_R_3es5Z6YN85lmdFK","eng"
"No","q_fg64rd_R_3Hjn1SGRPP51tQ3","eng"
"no","q_fg64rd_R_3hlHlMWjDyHLe7h","eng"
"no","q_fg64rd_R_3hrtX7MPynSR6dt","eng"
"no","q_fg64rd_R_3HwCKmgtKiAsEl6","eng"
"no","q_fg64rd_R_3MDKW8W8f0bje4X","eng"
"No","q_fg64rd_R_3NwjBicX4khjhUt","eng"
"no","q_fg64rd_R_3PbCH21surT661P","eng"
"No","q_fg64rd_R_3PGqzgeHnTilXXt","eng"
"no","q_fg64rd_R_3qUUDbrOP1DOEUf","eng"
"I've participated in a few studies for REP but none like this!","q_fg64rd_R_3RlIgAMSRmwpbYy","eng"
"no","q_fg64rd_R_8A3kVaJ5VxG6jFD","eng"
"no.","q_fg64rd_R_8HaJyk2u2ZGvTgJ","eng"
"No","q_fg64rd_R_AB3z7opspnQgpJ7","eng"
"No","q_fg64rd_R_DB28MmvdE6FQCtz","eng"
"No","q_fg64rd_R_O99xYCbpH72Di7L","eng"
"no","q_fg64rd_R_p0lK1VIUWpNLcyd","eng"
"No","q_fg64rd_R_R3726BRzIJ9LLbj","eng"
"NO","q_fg64rd_R_RDC633L8NG3eQoh","eng"
"No","q_fg64rd_R_Ry562RClf0as2ml","eng"
"NO","q_fg64rd_R_UMI84dq6cyWoFOh","eng"
"No.","q_fg64rd_R_vVSmnsIyU8eMBPz","eng"
"no","q_fg64rd_R_xaxsLhwxIBPYSuB","eng"
"NO","q_fg64rd_R_XiCmNUvq4NX9809","eng"
"No","q_fg64rd_R_XsTI282wVCxb7l7","eng"
"No.","q_fg64rd_R_yUY9p9ZFH6iL09r","eng"
"no like this one","q_fg64rd_R_YYV53jOiFTi3yiB","eng"
